X,Y,LINE,NAME,DISTRICT,SECTOR,STATION_ID,NOTE
1009789,250227,"4","Burnside Avenue","11","",384,"4-all times"
1027559,187214,"A","Rockaway Boulevard","23","",192,"A-all times, S Euclid Av to Ozone Park-Lefferts Blvd-nights"
1007855,246939,"4","Mt. Eden Avenue","11","",386,"4-all times"
993288,217154,"N,R,W","Lexington Avenue / 59 Street","04","",7,"N-all times, R-all times exc nights, W part time"
1006000,243696,"4","167 Street","11","",388,"4-all times"
1030799,188641,"A","111 Street","23","",194,"S Euclid Av to Ozone Park-Lefferts Blvd-nights, A-all other times"
1004349,237415,"4","149 Street / Grand Concourse","11","",390,"4-all times"
1004075,191826,"J","Kosciusko Street","33","",96,"J-all times"
1001527,232252,"4,5,6","125 Street","04","",392,"4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound"
1029766,184182,"A","Aqueduct / Racetrack","23","",196,"A-to Manhattan only, racing days only"
999686,228929,"6","110 Street","04","",394,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
994932,168516,"Q","Avenue H","34","",48,"Q-all times"
997800,225522,"6","96 Street","04","",396,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
1031332,179951,"A","Howard Beach / JFK Airport","23","",198,"A-all times"
995364,221130,"6","77 Street","04","",398,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
1000505,194458,"J,M","Flushing Avenue","33","",98,"J-all times, skips weekdays AM westbound, PM eastbound, M-all times exc nights"
993124,217087,"4,5,6","59 Street / Lexington Avenue","04","",400,"4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound"
1036008,153589,"A,S","Beach 90 Street","23","",200,"A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times"
990702,213181,"4,5,6","42 Street / Grand Central","04","",402,"4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound"
986519,192191,"R","Court Street","30","A",24,"N-nights, R-all other times"
988610,209997,"6","28 Street","04","",404,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
1032142,151824,"A,S","Beach 105 Street","23","",202,"A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times"
987035,206938,"4,5,6","14 Street / Union Square","04","",406,"4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound"
997146,196819,"J,M","Hewes Street","33","",100,"J-all times, skips weekdays AM westbound, PM eastbound, M-all times exc nights"
985730,203747,"6","Bleecker Street","04","",408,"4 nights, 6-all times, 6 Express-weekdays PM"
1040651,154632,"A","Beach 67 Street","23","",204,"A-all times"
984197,201156,"6","Canal Street","02","",410,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
995565,164214,"Q","Avenue M","34","",50,"Q-all times"
981614,198083,"4,5","Fulton Street","02","",412,"4-all times, 5-weekdays"
1046457,155381,"A","Beach 44 Street","23","",206,"A-all times"
980366,196096,"4,5","Bowling Green","02","",414,"4-all times, 5-all times exc nights"
987740,200975,"J,M,Z","Essex Street / Delancey Street","04","",102,"J-all times, M-all times exc nights, Z-rush hours AM westbound, PM eastbound"
1025544,268346,"2","241 Street / Wakefield","12","A",416,"2-all times"
1050521,157987,"A","Beach 25 Street","23","",208,"A-all times"
1023686,264706,"2,5","233 Street","12","A",418,"2-all times, 5-rush hours AM southbound, PM northbound"
987592,212393,"N,Q,R,W","34 Street / Herald Square","02","",12,"N,Q-all times, R-all times exc nights"
1022268,261332,"2,5","219 Street","12","A",420,"2-all times, 5-rush hours AM southbound, PM northbound"
